R,Nome,R_Mantra,Squadra_y,Tit,Quote,Predict,Predict STD,FinVal,Diff,Tot. (%),SpesaPer,SpesaM,SpesaDiff,TA,LJAJIC,Torino,16
A,DA CRUZ,A,Parma,0.4,5.0,5.440938637393167,0.2188044781663138,3.526303776547553,-1.473696223452447,1.07,3.21,7.800509634234325,9.18101926846865,A,DA CRUZ,Parma,5
D,JUAN JESUS,Ds;Dc,Roma,0.4,7.0,5.950231790800122,0.230466632837765,6.870617739270857,-0.1293822607291428,1.05,3.15,13.64627380230108,20.99254760460217,DsDc,JUAN JESUS,Roma,7
D,SANTON,Dd;Ds;E,Roma,0.4,4.0,5.816756898588417,0.1976775095326238,5.642351242697305,1.642351242697306,1.65,4.949999999999999,12.3882813560635,14.876562712127,DdDsE,SANTON,Roma,4
C,STROOTMAN,M;C,Roma,0.7,12.0,6.172689944486297,0.285115171679667,13.16993988715067,1.169939887150672,3.41,10.23,28.25381464092536,36.04762928185072,MC,STROOTMAN,Roma,12
D,KARSDORP,Dd;E,Roma,0.45,6.0,5.905740160062887,0.2195369250693846,7.169897460455884,1.169897460455884,0.77,2.31,13.75209078048217,22.88418156096435,DdE,KARSDORP,Roma,6
D,REGINI,Ds;Dc,Sampdoria,0.45,3.0,5.377224507698205,0.1963320008540835,3.567993173791678,0.5679931737916784,0.4,1.2,6.868755468580529,11.33751093716106,DsDc,REGINI,Sampdoria,3
D,SALA,Dd;E,Sampdoria,0.45,3.0,5.377224507698205,0.1963320008540835,3.567993173791678,0.5679931737916784,0.64,1.92,7.22875546858053,10.61751093716106,DdE,SALA,Sampdoria,3
C,STIJEPOVIC,W;A,Sampdoria,0.2,0.9999999999999999,5.288241246223735,0.1744725853173227,-0.7943605908050476,-1.794360590805048,0.54,1.62,-0.5856451302125576,-4.411290260425115,WA,STIJEPOVIC,Sampdoria,1
C,PEETERS,M;C,Sampdoria,0.1,0.9999999999999999,5.288241246223735,0.1744725853173227,-2.211764364224128,-3.211764364224128,0.21,0.63,-3.570940717399777,-8.401881434799554,MC,PEETERS,Sampdoria,1
C,VIEIRA,M;C,Sampdoria,0.55,6.0,5.51069939990991,0.2291211241592247,6.21366344378431,0.2136634437843101,0.96,2.88,12.35704350200533,18.95408700401067,MC,VIEIRA,Sampdoria,6
A,MATRI,Pc,Sassuolo,0.3,3.0,5.363460021281725,0.1966659450732417,1.359182364182547,-1.640817635817453,1.12,3.36,4.068003974013497,1.416007948026992,Pc,MATRI,Sassuolo,3
D,PELUSO,Ds;Dc,Sassuolo,0.45,4.0,5.40795165201896,0.2075956528416221,3.894710189835682,-0.1052898101643178,0.76,2.28,7.982778170206849,11.4055563404137,DsDc,PELUSO,Sassuolo,4
C,MAGNANELLI,M;C,Sassuolo,0.6,5.0,5.452443282756195,0.2185253606100025,6.430238015488817,1.430238015488817,1.26,3.78,13.1875523664002,18.8151047328004,MC,MAGNANELLI,Sassuolo,5
A,TROTTA,Pc,Sassuolo,0.3,7.999999999999999,5.5859181749679,0.2513144839151437,3.40629319180514,-4.59370680819486,2.45,7.350000000000001,9.659658051076146,4.619316102152292,Pc,TROTTA,Sassuolo,8
D,ADJAPONG,Dd;E,Sassuolo,0.6,3.0,5.363460021281725,0.1966659450732417,5.611393684439782,2.611393684439782,1.25,3.75,11.73389073557514,15.96778147115029,DdE,ADJAPONG,Sassuolo,3
C,DJURICIC,T,Sassuolo,0.55,5.0,5.452443282756195,0.2185253606100025,5.721536128779279,0.7215361287792792,0.88,2.64,11.3724045728066,17.46480914561319,T,DJURICIC,Sassuolo,5
C,CASSATA,C,Frosinone,0.65,2.0,5.307463745181462,0.1860153548611726,5.841546713521693,3.841546713521693,0.35,1.05,10.78825615596478,19.47651231192955,C,CASSATA,Frosinone,2
A,BRIGNOLA,A,Sassuolo,0.6,9.0,5.630409805705136,0.2622441916835241,8.067926677586891,-0.9320733224131086,2.95,8.850000000000001,18.59987562805032,19.49975125610064,A,BRIGNOLA,Sassuolo,9
A,ODGAARD,Pc,Sassuolo,0.2,0.9999999999999999,5.274476759807255,0.1748065295364809,-0.8770657402855547,-1.877065740285555,0.45,1.35,-0.8659532439987556,-4.431906487997511,Pc,ODGAARD,Sassuolo,1
C,BOURABIA,C,Sassuolo,0.5,5.0,5.452443282756195,0.2185253606100025,5.012834242069743,0.01283424206974271,0.13,0.39,9.002256779212992,17.22451355842598,C,BOURABIA,Sassuolo,5
C,BOGA,T;A,Sassuolo,0.55,7.999999999999999,5.5859181749679,0.2513144839151437,6.949802625352831,-1.050197374647168,2.11,6.33,15.37539701904418,18.09079403808835,TA,BOGA,Sassuolo,8
D,SALAMON,Dc,Frosinone,0.7,4.0,5.396447006655932,0.2078747703979334,7.369092931280264,3.369092931280264,0.91,2.73,14.31206558038343,23.16413116076687,Dc,SALAMON,Frosinone,4
A,FLOCCARI,Pc,SPAL,0.4,5.0,5.441914817980677,0.2187807947643917,3.532169245041405,-1.467830754958595,0.2,0.6000000000000001,6.505814919560179,11.81162983912036,Pc,FLOCCARI,SPAL,5
C,FARES,E,SPAL,0.65,6.0,5.486406448717911,0.2297105025327721,7.485100844113607,1.485100844113607,1.03,3.09,14.69588470294073,23.21176940588145,E,FARES,SPAL,6
C,SCHIATTARELLA,C,SPAL,0.75,3.0,5.352931556506205,0.1969213792276309,7.674238120959129,4.674238120959129,2.73,8.19,17.57818784389035,18.77637568778071,C,SCHIATTARELLA,SPAL,4
